"Code d'organisme";"Nom d'organisme officiel";"Code organisme responsable";"Adresse de courrier electronique";"Adresse de site WEB";"Ordre d'appartenance";"Réseau d'enseignement";"Type d'organisme";"Numéro de téléphone";"Numéro de poste téléphone";"Numéro de télécopieur";"Nom du directeur";"Prénom du directeur";"Appellation";"Titre de l'intervenant";"Circonscription électorale provinciale";"Code postal de l'adresse géographique";"Numéro - nom de rue et casier postal de l'adresse postale";"Région administrative";"Latitude";"Longitude";"Municipalité de l'adresse géographique";"Français";"Anglais";
"426501";"Académie des Sacrés-Coeurs";"426500";"khouryc@academiedsc.ca";"www.academiedessacrescoeurs.ca";"3";"Privé";"Installation";"4506533681";"222";"(450) 653-0816";"Khoury";"6";"Mme.";"Directrice générale";"77";"J3V4P6";"1575, rang des Vingt";"16";"45.517";"-73.32";"64";"Oui";"Non";
"881015";"Académie de Trois-Rivières";"881000";"";"www.cqsb.qc.ca/tra";"4";"Public";"École";"8193752332";"";"(819) 375-5280";"Quessy";"Carol";"M.";"Directeur";"115";"G9A1C5";"1875, rue Nicolas-Perrot";"4";"46.328";"-72.567";"6";"Non";"Oui";
"762253";"Académie Dunton";"762000";"dunton@csdm.qc.ca";"www.csdm.qc.ca/dunton/";"4";"Public";"École";"5145962028";"";"(514) 596-4902";"Benoit";"Eric";"M.";"Direction";"16";"H1K4B6";"5555, rue De Boucherville";"6";"45.614";"-73.547";"0";"Oui";"Non";
"635501";"Académie Étoile du Nord Laval";"635500";"josee.pepin@northstaracademy.ca";"";"4";"Privé";"Installation";"4509739797";"";"(450) 973-4463";"Pepin";"17";"Mme.";"";"26";"H7W0C6";"950, rue Élodie-Boucher";"13";"45.53";"-73.752";"2";"Non";"Oui";
"006501";"Académie François-Labelle";"006500";"afl@academiefrancoislabelle.qc.ca";"www.academiefrancoislabelle.qc.ca";"3";"Privé";"Installation";"4505822020";"";"(450) 582-9732";"Beaudry";"Michèle";"Mme.";"Directrice générale";"90";"J5Y3H2";"1227, rue Notre-Dame";"14";"45.789";"-73.411";"12";"Oui";"Non";
"382501";"Académie hébraïque  inc., section anglaise";"382500";"director@ha-mtl.org";"www.ha-mtl.org";"7";"Privé";"Installation";"5144895321";"239";"(514) 489-8607";"Lehrer";"Linda";"Mme.";"Directrice Générale";"30";"H4W1T4";"5700, avenue Kellert";"6";"45.479";"-73.659";"38";"Non";"Oui";
"382502";"Académie hébraïque inc., section francaise";"382500";"director@ha-mtl.org";"www.ha-mtl.org";"3";"Privé";"Installation";"5144895321";"239";"(514) 489-8607";"Lehrer";"Linda";"Mme.";"Directrice Générale";"30";"H4W1T4";"5700, avenue Kellert";"6";"45.479";"-73.659";"38";"Oui";"Non";
"885154";"Académie Hillcrest";"885000";"hillcrest@swlauriersb.qc.ca";"www.swlauriersb.qc.ca/schools/hillcrest/";"3";"Public";"École";"4506883002";"";"";"Rollin";"27";"Mme.";"Directrice";"26";"H7W4J8";"265, rue Bladen";"13";"45.53";"-73.752";"2";"Non";"Oui";
"007501";"Académie Ibn Sina, Campus préscolaire et primaire";"007500";"academie.ibnsina@aibn.com";"www.ibnsina.ca";"3";"Privé";"Installation";"5147220925";"";"(514) 722-0939";"Abouabdallah";"Ahmed";"M.";"Directeur";"97";"H1T2W8";"6500, 39e Avenue";"6";"45.573";"-73.557";"0";"Oui";"Non";
"007502";"Académie Ibn Sina, Campus secondaire";"007500";"direction@ibnsina.ca";"www.ibnsina.ca";"4";"Privé";"Installation";"5147870065";"";"(514) 787-0054";"ABOUABDELLAH";"AHMED";"M.";"Directeur général";"15";"H1G5H2";"12190, avenue Brunet 6500,39ème avenue";"6";"45.621";"-73.608";"0";"Oui";"Non";
"887108";"Académie Internationale Marymount";"887000";"marymount@emsb.qc.ca";"www.emsb.qc.ca/marymount/splash.html";"4";"Public";"École";"5144888144";"";"(514) 488-8183";"Lagodich";"Elizabeth  (Interim)";"Mme.";"Directrice";"82";"H3W2G9";"5100, chemin de la Côte-Saint-Luc";"6";"45.489";"-73.636";"0";"Non";"Oui";
"208503";"Académie internationale Zig Zag, Campus préscolaire";"208500";"zigzag27@hotmail.com";"www.zigetzag.com";"1";"Privé";"Installation";"8193578112";"";"(819) 357-8124";"Danella";"Gloria";"Mme.";"Directrice";"5";"G6P4G2";"153, rue Saint-Jean-Baptiste";"17";"46.047";"-71.913";"24";"Oui";"Non";
"208501";"Académie internationale Zig Zag, Campus primaire";"208500";"info@zigetzag.com";"www.zigetzag.com";"2";"Privé";"Installation";"8193578112";"";"(819) 357-8124";"Danella";"Gloria";"Mme.";"Directrice";"5";"G6P6P4";"27, rue Laurier Ouest";"17";"46.047";"-71.913";"24";"Oui";"Non";
"887019";"Académie John Caboto";"887000";"johncaboto@emsb.qc.ca";"www.emsb.qc.ca/JohnCaboto/index.htm";"3";"Public";"École";"5143810052";"";"(514) 381-0054";"Buscemi";"Lucy";"Mme.";"principal";"2";"H2N1W3";"8955, rue Meunier";"6";"45.541";"-73.651";"0";"Non";"Oui";
"579501";"Académie Juillet S.A.";"579500";"info@academiejuillet.com";"www.academiejuillet.com";"3";"Privé";"Installation";"4506320080";"";"(450) 632-4534";"Juillet";"Marylène";"Mme.";"";"59";"J5R0G1";"61, rue Radisson";"16";"45.368";"-73.511";"Candiac";"Oui";"Non";
"009505";"Académie Kells, campus préscolaire et primaire";"009500";"kadmin@kells.ca";"www.kells.ca";"3";"Privé";"Installation";"5144872345";"";"(514) 487-2081";"Woods";"Irène";"Mme.";"Directrice";"82";"H4B2M7";"2290, boulevard Cavendish";"6";"45.464";"-73.631";"0";"Non";"Oui";
"009502";"Académie Kells, campus secondaire";"009500";"kadmin@kells.ca";"www.kells.ca";"4";"Privé";"Installation";"5144858565";"";"(514) 485-8505";"Woods";"Irène";"Mme.";"Directrice";"82";"H4B1T1";"6865, boulevard De Maisonneuve Ouest";"6";"45.464";"-73.631";"0";"Non";"Oui";
"883009";"Académie Knowlton";"883000";"scottb@etsb.qc.ca";"www.etsb.qc.ca/knowlton/default.htm";"7";"Public";"École";"4502436187";"";"(450) 243-4279";"Gore";"Renalee";"Mme.";"Directrice";"17";"J0E1V0";"81, rue Victoria";"16";"45.437";"-72.885";"Lac-Brome";"Non";"Oui";
"015502";"Académie Kuper, préscolaire et primaire";"015500";"cdasilva@kuperacademy.ca";"www.kuperacademy.ca";"3";"Privé";"Installation";"5144263007";"421";"(514) 693-0364";"Salette";"Joan";"Mme.";"Head of School";"80";"H9H5G5";"4, rue Aesop";"6";"45.484";"-73.863";"Kirkland";"Non";"Oui";
"015501";"Académie Kuper, primaire";"015500";"cdasilva@kuperacademy.ca";"www.kuperacademy.ca";"2";"Privé";"Installation";"5144263007";"321";"(514) 426-2703";"Salette";"Joan";"Mme.";"Head of School";"80";"H9H5G5";"2, rue Aesop";"6";"45.484";"-73.863";"Kirkland";"Non";"Oui";
"015503";"Académie Kuper, secondaire";"015500";"cdasilva@kuperacademy.ca";"www.kuperacademy.ca";"4";"Privé";"Installation";"5144263007";"223";"(514) 426-0377";"Salette";"Joan";"Mme.";"Head of School";"80";"H9H5K5";"2975, rue Edmond";"6";"45.484";"-73.863";"Kirkland";"Non";"Oui";
"016501";"Académie Lafontaine inc.";"016500";"info@academielafontaine.qc.ca";"www.academielafontaine.qc.ca";"7";"Privé";"Installation";"4504313733";"310";"(450) 431-7390";"Potvin";"Claude";"M.";"Directeur";"104";"J7Y4M7";"2171, boulevard Maurice";"15";"45.767";"-74.015";"15";"Oui";"Non";
"887104";"Académie LaurenHill";"887000";"laurenhillacademy@emsb.qc.ca";"www.emsb.qc.ca/laurenhill/";"4";"Public";"École";"5143318781";"";"(514) 331-7145";"Dansereau";"Claude";"M.";"Directeur";"105";"H4R1P3";"2505, boulevard Côte-Vertu";"6";"45.504";"-73.721";"STLaurent";"Non";"Oui";
"017501";"Académie Laurentienne (1986) inc.";"017500";"grichard@al.qc.ca";"www.academielaurentienne.ca";"6";"Privé";"Installation";"8193222913";"222";"(819) 322-7086";"40";"Guy";"M.";"Directeur général";"11";"J0T2R0";"1200, 14e Avenue";"15";"45.971";"-74.608";"Val-Morin";"Oui";"Non";
"624501";"Académie Lavalloise";"624500";"info@academielavalloise.com";"www.academielavalloise.com";"3";"Privé";"Installation";"4506281430";"2";"";"Zakaib";"Tessa";"Mme.";"Directrice générale";"123";"H7K2J8";"5290, boulevard des Laurentides";"13";"45.607";"-73.741";"2";"Oui";"Oui";
"887021";"Académie Leonardo-da-Vinci";"887000";"ldavinci@emsb.qc.ca";"www.emsb.qc.ca/leonardodavinci";"3";"Public";"École";"5146482764";"";"(514) 648-7921";"Scrocca";"Antoinette (Interim)";"Mme.";"Directeur";"55";"H1E4G2";"12025, rue André Dumas";"6";"45.63";"-73.596";"0";"Non";"Oui";
"741109";"Académie les Estacades";"741000";"ac-estc@csduroy.qc.ca";"www.csduroy.qc.ca/Estacades/w2/accueil.html";"4";"Public";"École";"8193753702";"331";"(819) 375-3785";"6";"5";"Mme.";"Directrice générale adjointe et directrice";"19";"G8T5J2";"501, rue des Érables";"4";"46.378";"-72.534";"6";"Oui";"Non";
"019501";"Académie Louis-Pasteur";"019500";"mpassaretti@academielouispasteur.com";"www.academielouispasteur.com";"3";"Privé";"Installation";"5143226123";"";"(514) 322-6787";"Passaretti";"Mark";"M.";"directeur";"55";"H1G2J5";"7220, rue Marie-Victorin";"6";"45.621";"-73.608";"0";"Oui";"Non";
"023501";"Académie Maria-Montessori de Montréal";"023500";"acamaria.montessori@qc.aira.com";"";"3";"Privé";"Installation";"5143822112";"";"(514) 382-0996";"Zadé";"Arlette";"Mme.";"Directrice générale";"55";"H1E1T3";"12755, 16e Avenue";"6";"45.63";"-73.596";"0";"Oui";"Non";
"024501";"Académie Marie-Claire";"024500";"academie@academiemarie-claire.qc.ca";"www.academiemarie-claire.qc.ca";"2";"Privé";"Installation";"5146979995";"";"(514) 697-5575";"33";"Marie-Claire";"Mme.";"Directrice";"80";"H9J3Y4";"18190, boulevard Elkas";"6";"45.449";"-73.858";"Kirkland";"Oui";"Oui";
"025501";"Académie Marie-Laurier inc., Campus Brossard";"025500";"academie@marielaurier.com";"www.marielaurier.com";"3";"Privé";"Installation";"4509232787";"";"(450) 923-2291";"14";"Monique";"Mme.";"Directrice Générale";"57";"J4X2H5";"1555, avenue Stravinski";"16";"45.435";"-73.489";"13";"Oui";"Oui";
"025502";"Académie Marie-Laurier inc., Campus Longueuil";"025500";"academie@marielaurier.com";"www.marielaurier.com";"3";"Privé";"Installation";"4509232787";"";"(450) 923-2291";"14";"Monique";"Mme.";"Directrice Générale";"117";"J3Y9E7";"1555, avenue Stravinski";"16";"45.48";"-73.403";"4";"Oui";"Oui";
"025503";"Académie Marie-Laurier inc., Collège Marie-Laurier";"025500";"academie@marielaurier.com";"www.marielaurier.com";"4";"Privé";"Installation";"4509232787";"";"(450) 923-2291";"14";"Monique";"Mme.";"Directrice Générale";"117";"J3Y9E7";"4405, rue Leckie";"16";"45.48";"-73.403";"4";"Oui";"Oui";
"026501";"Académie Michèle-Provost inc.";"026500";"info@academiemicheleprovost.qc.ca";"www.academiemicheleprovost.qc.ca";"7";"Privé";"Installation";"5149340596";"";"(514) 934-2390";"Baschiera";"Franco";"M.";"Directeur Général";"124";"H3G1B3";"1517, avenue Des Pins Ouest";"6";"45.496";"-73.572";"0";"Oui";"Non";
"887111";"Académie Royal West";"887000";"rwa@emsb.qc.ca";"www.emsb.qc.ca/royalwest/";"4";"Public";"École";"5144898454";"";"(514) 489-3682";"Pita";"Tony";"M.";"Directeur";"82";"H4X1L4";"189, avenue Easton";"6";"45.458";"-73.665";"MTLOuest";"Non";"Oui";
"763001";"Académie Saint-Clément";"763000";"direction.academiesaint-clement@csmb.qc.ca";"www2.csmb.qc.ca/asc/principal/index.asp";"2";"Public";"École";"5147395070";"";"(514) 739-5004";"Zavallone";"Marieke";"Mme.";"Directrice";"79";"H3P2K8";"1345, chemin Régent";"6";"45.522";"-73.625";"50";"Oui";"Non";
"885172";"Académie Sainte-Agathe";"885000";"btsatoumas@swlauriersb.qc.ca";"https://saa.schoolqc.ca/";"3";"Public";"École";"8193262563";"";"(819) 326-7563";"Tsatoumas";"Bessie";"Mme.";"Directrice";"11";"J8C1Z3";"26, rue Napoléon";"15";"46.044";"-74.271";"65";"Non";"Oui";
"885189";"Académie Sainte-Agathe";"885000";"btsatoumas@swlauriersb.qc.ca";"saa.schoolqc.ca/";"4";"Public";"École";"8193262563";"";"(819) 326-7563";"Tsatoumas";"Bessie";"Mme.";"Directrice";"11";"J8C1Z3";"26, rue Napoléon";"15";"46.044";"-74.271";"65";"Non";"Oui";
"030503";"Académie Solomon Schechter, campus préscolaire, section anglaise";"030500";"serdelyi@solomonschechter.ca";"";"1";"Privé";"Installation";"5144850866";"134";"(514) 485-2267";"Erdelyi";"Steven";"M.";"Directeur général";"30";"H3X2V3";"4950, avenue Macdonald";"6";"45.484";"-73.65";"0";"Non";"Oui";
"030504";"Académie Solomon Schechter, campus préscolaire, section française";"030500";"serdelyi@solomonschechter.ca";"";"1";"Privé";"Installation";"5144850866";"134";"(514) 485-2267";"";"";"";"";"30";"H3X2V3";"4950, avenue Macdonald";"6";"45.484";"-73.65";"0";"Oui";"Non";
"030501";"Académie Solomon Schechter, campus primaire, section anglaise";"030500";"serdelyi@solomonschechter.ca";"";"2";"Privé";"Installation";"5144850866";"134";"(514) 485-2267";"Erdelyi";"Steven";"M.";"Directeur général";"30";"H3X2C9";"5555, chemin de la Côte-Saint-Luc";"6";"45.484";"-73.65";"0";"Non";"Oui";
"030502";"Académie Solomon Schechter, campus primaire, section française";"030500";"serdelyi@solomonschechter.ca";"";"2";"Privé";"Installation";"5144850866";"134";"(514) 485-2267";"Erdelyi";"Steven";"M.";"Directeur général";"30";"H3X2C9";"5555, chemin de la Côte-Saint-Luc";"6";"45.484";"-73.65";"0";"Oui";"Non";
"028501";"Académie St-Louis de France";"028500";"pascal.foucault@academiesldf.ca";"www.academiesldf.com";"3";"Privé";"Installation";"5147250340";"";"(514) 725-1460";"Foucault";"Pascal";"M.";"Directeur ";"15";"H1G2Y1";"5320, rue d'Amos";"6";"45.621";"-73.608";"0";"Oui";"Non";
"027501";"Académie St-Louis (Québec)";"027500";"direct@aslouis.qc.ca";"www.aslouis.qc.ca";"4";"Privé";"Installation";"4188455121";"222";"(418) 845-5244";"Lee";"Jocelyn";"M.";"Directeur";"118";"G2C2B3";"1500, rue de la Rive-Boisée Sud";"3";"46.838";"-71.323";"1";"Oui";"Non";
"027502";"Académie St-Louis (Québec) - Pavillon Saint-Louis-de-Gonzague";"027500";"mireille.guay@aslouis.qc.ca";"www.aslouis.qc.ca";"3";"Privé";"Installation";"4187672200";"241";"(418) 767-2211";"Guay";"Mireille";"Mme.";"Directrice du Pavillon Saint-Louis-de-Gonzague";"118";"G2C0J1";"2200, rue de la Rive-Boisée Nord";"3";"46.838";"-71.323";"1";"Oui";"Non";
"548501";"Académie St. Margaret";"548500";"academiest-margaret@videotron.ca";"";"3";"Privé";"Installation";"4504775172";"";"(450) 477-6003";"Ménard";"26";"Mme.";"";"71";"J7L3P9";"383, chemin des Anglais";"14";"45.743";"-73.669";"25";"Oui";"Oui";
"557501";"Académie Trivium inc.";"557500";"info@trivium-academy.com";"www.academie-trivium.com";"3";"Privé";"Installation";"8196430828";"";"(819) 643-9176";"Samson";"14";"Mme.";"Secrétaire";"20";"J8P5B7";"88, rue Jean-René-Monette";"7";"45.521";"-75.63";"3";"Oui";"Oui";
"558501";"Académie Vaudrin";"558500";"mvaudrin@academievaudrin.ca";"www.academievaudrin.ca";"3";"Privé";"Installation";"4505105454";"2";"(450) 510-0927";"Vaudrin";"Michelle";"Mme.";"Directrice";"119";"J7V0B7";"1255, rue Émile-Bouchard";"16";"45.377";"-73.946";"61";"Oui";"Oui";
"478502";"Académie Yéshiva Yavné";"478500";"mellul.yavne@gmail.com";"";"7";"Privé";"Installation";"5144818563";"";"(514) 481-7397";"Mellul";"Samuel";"M.";"Directeur";"30";"H4W1L7";"7946, chemin Wavell";"6";"45.479";"-73.659";"38";"Oui";"Non";
"932010";"Agrinova";"932001";"info@crda.qc.ca";"www.crda.ca";"32";"Public";"Centre coll de transfert tech.";"4184803300";"";"(418) 480-3306";"Wieland";"30";"M.";"Directeur";"54";"G8B7S8";"640, rue Côté Ouest";"2";"48.567";"-71.641";"29";"Non";"Non";
"693590";"Air Richelieu";"";"tdugrippe@airrichelieu.com";"www.airrichelieu.com";"32";"Privé";"Collège privé";"4504454444";"235";"(450) 926-0430";"Dugrippe";"Thierry";"M.";"Directeur général";"117";"J3Y8Y9";"5800, route de l'Aéroport";"16";"45.48";"-73.403";"4";"Oui";"Non";
"169501";"Alexander von Humboldt École internationale allemande inc.";"169500";"avh@avh.montreal.qc.ca";"www.avh.montreal.qc.ca";"7";"Privé";"Installation";"5144572886";"";"(514) 457-2885";"Linse";"Thomas";"M.";"Directeur";"46";"H9X2H9";"216, place Victoria";"6";"45.43";"-73.922";"Baie-D'Urfé";"Non";"Oui";
"869402";"Atelier-école Les Cèdres";"869000";"atelierlescedres@cstrois-lacs.qc.ca";"";"8";"Public";"Centre de formation prof.";"5144777020";"5425";"(450) 452-4556";"Coutlee";"Guy";"M.";"Directeur";"111";"J7T1K8";"1587, chemin Saint-Dominique";"16";"45.434";"-74.153";"Les Cèdres";"Oui";"Non";
"032501";"Aviron Québec Collège Technique";"032500";"info@avironquebec.com";"www.avironquebec.com";"8";"Privé";"Installation";"4185291321";"";"(418) 529-1322";"Flegg";"Allan";"M.";"Directeur";"113";"G1K3H1";"270, boulevard Charest Est";"3";"46.818";"-71.222";"1";"Oui";"Oui";
"032502";"Aviron Québec Collège Technique";"032500";"aflegg@avironquebec.com";"www.avironquebec.com";"8";"Privé";"Installation";"4185291321";"";"(418) 529-1322";"Dunant";"Steve";"M.";"Directeur adjoint";"113";"G1N3X2";"1275, rue De La Jonquière";"3";"46.807";"-71.248";"1";"Oui";"Oui";
"923092";"Biopterre - Centre de développement des bioproduits";"923000";"";"www.biopterre.com";"32";"Public";"Centre coll de transfert tech.";"4188565917";"116";"(418) 856-6405";"Cayer";"Benoit";"M.";"Directeur général";"28";"G0R1Z0";"1642, rue de la Ferme";"1";"46.737";"-70.579";"43";"Oui";"Non";
"033501";"Bishop's College School";"033500";"wjohnson@bishopscollegeschool.com";"www.bishopscollegeschool.com";"4";"Privé";"Installation";"8195660227";"206";"(819) 822-8917";"Mitchell";"William";"M.";"Directeur";"100";"J1M1Z8";"80, chemin Moulton Hill";"5";"45.379";"-71.851";"5";"Non";"Oui";
"920001";"Campus d'Amos";"920000";"";"cegepat.qc.ca";"32";"Public";"Centre d'enseignement";"8197325218";"";"(819) 732-3819";"Charron";"Dany";"Mme.";"Directrice du campus d'Amos";"1";"J9T2L8";"341, rue Principale Nord";"8";"48.573";"-78.107";"30";"Oui";"Non";
"866371";"Campus de Brome-Missisquoi";"866000";"";"www.cbm.csvdc.qc.ca";"16";"Public";"Centre éducation des adultes";"4502637901";"";"(450) 263-0985";"Retchless";"Andrew";"M.";"Directeur de centre";"17";"J2K3X9";"180, rue Adélard-Godbout";"16";"45.198";"-72.759";"Cowansville";"Oui";"Oui";
"866471";"Campus de Brome-Missisquoi";"866000";"";"www.cbm.csvdc.qc.ca";"8";"Public";"Centre de formation prof.";"4502637901";"";"(450) 263-0985";"Bouvier";"Paule-Andrée";"Mme.";"Directrice de centre";"17";"J2K3X9";"180, rue Adélard-Godbout";"16";"45.198";"-72.759";"Cowansville";"Oui";"Non";
"920002";"Campus de Val-d'Or";"920000";"";"cegepat.qc.ca";"32";"Public";"Centre d'enseignement";"8198743837";"";"(819) 825-4340";"";"";"";"";"0";"J9P1Y3";"675, 1re Avenue";"8";"48.086";"-77.823";"60";"Oui";"Non";
"920003";"Campus de Val-d'Or (Anglophone)";"920000";"";"cegepat.qc.ca";"32";"Public";"Centre d'enseignement";"8198743837";"";"(819) 825-4340";"Bertrand";"Marc";"M.";"Directeur de la formation continue et services internationaux";"0";"J9P1Y3";"675, 1re Avenue";"8";"48.086";"-77.823";"60";"Non";"Oui";
"919002";"Campus Félix-Leclerc";"919000";"";"www.cegepoutaouais.qc.ca";"32";"Public";"Centre d'enseignement";"8197704012";"3202";"(819) 243-9007";"Fortier";"14";"Mme.";"Directrice du développement des ressources humaines et services aux personnels";"20";"J8T7T7";"820, boulevard de la Gappe";"7";"45.476";"-75.676";"3";"Oui";"Non";
"210508";"Campus Notre-Dame-de-Foy";"";"dufourg@cndf.qc.ca";"www.cndf.qc.ca";"32";"Privé";"Collège privé";"4188728041";"1137";"(418) 872-8987";"Dufour";"Guy";"M.";"Directeur général";"66";"G3A1B3";"5000, rue Clément-Lockquell";"3";"46.737";"-71.444";"66";"Oui";"Non";
"485501";"Campus Notre-Dame-de-Foy";"485500";"dufourg@cndf.qc.ca";"www.cndf.qc.ca";"8";"Privé";"Installation";"4188728041";"1137";"(418) 872-8987";"Dufour";"Guy";"M.";"Directeur général";"66";"G3A1B3";"5000, rue Clément-Lockquell";"3";"46.737";"-71.444";"66";"Oui";"Oui";
"690572";"Campus Notre-Dame-de-Foy (boul. Décarie, Mtl)";"210508";"dufourg@cndf.qc.ca";"www.cndf.qc.ca";"32";"Privé";"Installation du collège privé";"4188728041";"1137";"(418) 872-8987";"Dufour";"Guy";"M.";"Directeur général";"30";"H3X2T8";"5000, rue Clément-Lockquell";"6";"45.484";"-73.65";"0";"Non";"Oui";
"690571";"Campus Notre-Dame-de-Foy (rue Vézina, Mtl)";"210508";"dufourg@cndf.qc.ca";"www.cndf.qc.ca";"32";"Privé";"Installation du collège privé";"4188728041";"1137";"(418) 872-8987";"Dufour";"Guy";"M.";"Directeur général";"79";"H3W1C2";"5000, rue Clément-Lockquell";"6";"45.489";"-73.636";"0";"Non";"Oui";
"853050";"Campus primaire Mont-Tremblant";"853000";"fleursoleil@cslaurentides.qc.ca";"";"3";"Public";"École";"8194253565";"5301";"(819) 425-6249";"42";"Suzanne";"Mme.";"Directrice";"53";"J8E3H2";"509, rue Labelle";"15";"46.158";"-74.622";"MTTremblant";"Oui";"Non";
"742451";"Carrefour Formation Mauricie formation professionnelle";"742000";"";"www.csenergie.qc.ca/cfm/";"8";"Public";"Centre de formation prof.";"8195392265";"";"(819) 539-1945";"Lampron";"8";"M.";"Directeur des Services de l'éducation des adultes et de la formation professionnelle";"107";"G9N7A3";"5105, avenue Albert-Tessier";"4";"46.588";"-72.708";"19";"Oui";"Non";
"277500";"CDE Collège";"";"marie-andree.savoie@cde-college.com";"www.cde-college.com";"32";"Privé";"Collège privé";"8193465000";"";"(819) 346-4463";"Gaudreault";"Ovila";"M.";"Directeur général";"110";"J1H5A9";"37, rue Wellington Nord Bureau 101";"5";"45.397";"-71.888";"5";"Oui";"Non";
"692520";"CDE Collège - Drummondville";"277500";"annie.auger@cde-college.com";"www.cde-college.com";"32";"Privé";"Installation du collège privé";"8194788877";"";"(819) 478-0398";"Auger";"2";"Mme.";"Directrice adjointe, campus de Drummondville";"32";"J2C7B5";"455, boulevard Saint-Joseph, 2e étage Place Citadelle";"17";"45.896";"-72.516";"14";"Oui";"Non";
"929000";"Cégep André-Laurendeau";"";"courrier@claurendeau.qc.ca";"www.claurendeau.qc.ca/";"32";"Public";"Cégep";"5143643320";"6169";"(514) 364-7130";"2";"Claude";"M.";"Directeur général";"67";"H8N2J4";"1111, rue Lapierre";"6";"45.447";"-73.631";"0";"Oui";"Non";
"937000";"Cégep Beauce-Appalaches";"";"info@cegepba.qc.ca";"www.cegepba.qc.ca";"32";"Public";"Cégep";"4182288896";"";"(418) 228-0562";"34";"Mario";"M.";"Directeur général";"7";"G5Y3G1";"1055, 116e Rue Est";"12";"46.126";"-70.685";"54";"Oui";"Non";
"913000";"Cégep d'Ahuntsic";"";"odette.query@cahuntsic.ca";"www.collegeahuntsic.qc.ca/";"32";"Public";"Cégep";"5143895921";"2110";"(514) 382-1524";"Pagé";"Benoit";"M.";"Directeur général";"29";"H2M1Y8";"9155, rue Saint-Hubert";"6";"45.552";"-73.631";"0";"Oui";"Non";
