"Code d'organisme";"Nom courant";"Nom d'organisme officiel";"Code organisme responsable";"Nom d'organisme responsable";"Adresse de courrier electronique";"Adresse de site WEB";"Direction régionale";"Région administrative";"Ordre d'appartenance";"Réseau d'enseignement";"Type d'organisme";"Numéro de téléphone";"Numéro de poste téléphone";"Numéro de télécopieur";"Numéro - nom de rue et casier postal de l'adresse géographique";"Municipalité de l'adresse géographique";"Province de l'adresse géographique";"Code postal de l'adresse géographique";"Numéro - nom de rue et casier postal de l'adresse postale";"Municipalité de l'adresse postale";"Province de l'adresse postale";"Code postal de l'adresse postale";"Circonscription électorale provinciale";"Code de municipalité ISQ";"Fonction";"Titre de l'intervenant";"Titre court";"Appellation";"Nom du directeur";"Prénom du directeur";"Préscolaire";"Primaire";"Secondaire";"Éducation des adultes";"Formation professionnelle";"Collégial";"Universitaire";"Français";"Anglais";"Autres";
"426501";"Académie des Sacrés-Coeurs";"Académie des Sacrés-Coeurs";"426500";"Académie des Sacrés-Coeurs";"khouryc@academiedsc.ca";"www.academiedessacrescoeurs.ca";"Montérégie";"Montérégie";"Préscolaire, primaire";"Privé";"Installation";"(450) 653-3681";"222";"(450) 653-0816";"1575, rang des Vingt";"Saint-Bruno-de-Montarville";"Québec";"J3V 4P6";"1575, rang des Vingt";"Saint-Bruno-de-Montarville";"Québec";"J3V 4P6";"Montarville";"58037";"Directeur";"Directrice générale";"Directrice générale";"Mme.";"Khoury";"Christine";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";
"881015";"Académie de Trois-Rivières";"Académie de Trois-Rivières";"881000";"CS Central Québec";"";"http://www.cqsb.qc.ca/tra";"Capit.-Nation. et Chaud.-App.";"Mauricie";"Secondaire";"Public";"École";"(819) 375-2332";"";"(819) 375-5280";"1875, rue Nicolas-Perrot";"Trois-Rivières";"Québec";"G9A 1C5";"1875, rue Nicolas-Perrot";"Trois-Rivières";"Québec";"G9A 1C5";"Trois-Rivières";"37067";"Directeur";"Directeur";"Directeur";"M.";"Quessy";"Carol";"Non";"Non";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";
"762253";"Académie Dunton";"Académie Dunton";"762000";"CS de Montréal";"dunton@csdm.qc.ca";"http://www.csdm.qc.ca/dunton/";"Montréal";"Montréal";"Secondaire";"Public";"École";"(514) 596-2028";"";"(514) 596-4902";"5555, rue De Boucherville";"Montréal";"Québec";"H1K 4B6";"5555, rue De Boucherville";"Montréal";"Québec";"H1K 4B6";"Bourget";"66023";"Directeur";"Direction";"Dir.";"M.";"Benoit";"Eric";"Non";"Non";"Oui";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";
"635501";"Académie Étoile du Nord Laval";"Académie Étoile du Nord Laval";"635500";"Académie Étoile du Nord Laval";"josee.pepin@northstaracademy.ca";"";"Laval Laurentides Lanaudière";"Laval";"Secondaire";"Privé";"Installation";"(450) 973-9797";"";"(450) 973-4463";"950, rue Élodie-Boucher";"Laval";"Québec";"H7W 0C6";"950, rue Élodie-Boucher";"Laval";"Québec";"H7W 0C6";"Chomedey";"65005";"Directeur";"";"";"Mme.";"Pepin";"Josée";"Non";"Non";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";
"006501";"Académie François-Labelle";"Académie François-Labelle";"006500";"Académie Francois-Labelle";"afl@academiefrancoislabelle.qc.ca";"www.academiefrancoislabelle.qc.ca";"Laval Laurentides Lanaudière";"Lanaudière";"Préscolaire, primaire";"Privé";"Installation";"(450) 582-2020";"";"(450) 582-9732";"1227, rue Notre-Dame";"Repentigny";"Québec";"J5Y 3H2";"1227, rue Notre-Dame";"Repentigny";"Québec";"J5Y 3H2";"Repentigny";"60013";"Directeur";"Directrice générale";"Directrice";"Mme.";"Beaudry";"Michèle";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";
"382501";"Ac. hébraïque (Section anglaise)";"Académie hébraïque  inc., section anglaise";"382500";"Académie hébraïque";"director@ha-mtl.org";"www.ha-mtl.org";"Montréal";"Montréal";"Préscolaire, primaire, secondaire";"Privé";"Installation";"(514) 489-5321";"239";"(514) 489-8607";"5700, avenue Kellert";"Côte-Saint-Luc";"Québec";"H4W 1T4";"5700, avenue Kellert";"Côte-Saint-Luc";"Québec";"H4W 1T4";"D'Arcy-McGee";"66058";"Directeur";"Directrice Générale";"Directrice Générale";"Mme.";"Lehrer";"Linda";"Oui";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";
"382502";"Ac. hébraïque (Section française)";"Académie hébraïque inc., section francaise";"382500";"Académie hébraïque";"director@ha-mtl.org";"www.ha-mtl.org";"Montréal";"Montréal";"Préscolaire, primaire";"Privé";"Installation";"(514) 489-5321";"239";"(514) 489-8607";"5700, avenue Kellert";"Côte-Saint-Luc";"Québec";"H4W 1T4";"5700, avenue Kellert";"Côte-Saint-Luc";"Québec";"H4W 1T4";"D'Arcy-McGee";"66058";"Directeur";"Directrice Générale";"Directrice Générale";"Mme.";"Lehrer";"Linda";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";
"885154";"Académie Hillcrest";"Académie Hillcrest";"885000";"CS Sir-Wilfrid-Laurier";"hillcrest@swlauriersb.qc.ca";"http://www.swlauriersb.qc.ca/schools/hillcrest/";"Laval Laurentides Lanaudière";"Laval";"Préscolaire, primaire";"Public";"École";"(450) 688-3002";"";"";"265, rue Bladen";"Laval";"Québec";"H7W 4J8";"265, rue Bladen";"Laval";"Québec";"H7W 4J8";"Chomedey";"65005";"Directeur";"Directrice";"Directrice";"Mme.";"Rollin";"Nathalie";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";
"007501";"Académie Ibn Sina, Campus présc. prim.";"Académie Ibn Sina, Campus préscolaire et primaire";"007500";"Académie Ibn Sina";"academie.ibnsina@aibn.com";"www.ibnsina.ca";"Montréal";"Montréal";"Préscolaire, primaire";"Privé";"Installation";"(514) 722-0925";"";"(514) 722-0939";"6500, 39e Avenue";"Montréal";"Québec";"H1T 2W8";"6500, 39e Avenue";"Montréal";"Québec";"H1T 2W8";"Rosemont";"66023";"Directeur";"Directeur";"Directeur";"M.";"Abouabdallah";"Ahmed";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";
"007502";"Académie Ibn Sina, Campus secondaire";"Académie Ibn Sina, Campus secondaire";"007500";"Académie Ibn Sina";"direction@ibnsina.ca";"www.ibnsina.ca";"Montréal";"Montréal";"Secondaire";"Privé";"Installation";"(514) 787-0065";"";"(514) 787-0054";"12190, avenue Brunet";"Montréal";"Québec";"H1G 5H2";"12190, avenue Brunet 6500,39ème avenue";"Montréal";"Québec";"H1G 5H2";"Bourassa-Sauvé";"66023";"Directeur";"Directeur général";"";"M.";"ABOUABDELLAH";"AHMED";"Non";"Non";"Oui";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";
"887108";"Académie Internationale Marymount";"Académie Internationale Marymount";"887000";"CS English-Montréal";"marymount@emsb.qc.ca";"http://www.emsb.qc.ca/marymount/splash.html";"Montréal";"Montréal";"Secondaire";"Public";"École";"(514) 488-8144";"";"(514) 488-8183";"5100, chemin de la Côte-Saint-Luc";"Montréal";"Québec";"H3W 2G9";"5100, chemin de la Côte-Saint-Luc";"Montréal";"Québec";"H3W 2G9";"Notre-Dame-de-Grâce";"66023";"Directeur";"Directrice";"";"Mme.";"Lagodich";"Elizabeth  (Interim)";"Non";"Non";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";
"208503";"Ac. int. Zig Zag, Campus préscolaire";"Académie internationale Zig Zag, Campus préscolaire";"208500";"Académie internationale Zig Zag";"zigzag27@hotmail.com";"www.zigetzag.com";"Mauricie Centre-du-Québec";"Centre-du-Québec";"Préscolaire";"Privé";"Installation";"(819) 357-8112";"";"(819) 357-8124";"153, rue Saint-Jean-Baptiste";"Victoriaville";"Québec";"G6P 4G2";"153, rue Saint-Jean-Baptiste";"Victoriaville";"Québec";"G6P 4G2";"Arthabaska";"39062";"Directeur";"Directrice";"Directrice";"Mme.";"Danella";"Gloria";"Oui";"Non";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";
"208501";"Académie int. Zig Zag, Campus primaire";"Académie internationale Zig Zag, Campus primaire";"208500";"Académie internationale Zig Zag";"info@zigetzag.com";"www.zigetzag.com";"Mauricie Centre-du-Québec";"Centre-du-Québec";"Primaire";"Privé";"Installation";"(819) 357-8112";"";"(819) 357-8124";"27, rue Laurier Ouest";"Victoriaville";"Québec";"G6P 6P4";"27, rue Laurier Ouest";"Victoriaville";"Québec";"G6P 6P4";"Arthabaska";"39062";"Directeur";"Directrice";"Directrice";"Mme.";"Danella";"Gloria";"Non";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";
"887019";"Académie John Caboto";"Académie John Caboto";"887000";"CS English-Montréal";"johncaboto@emsb.qc.ca";"http://www.emsb.qc.ca/JohnCaboto/index.htm";"Montréal";"Montréal";"Préscolaire, primaire";"Public";"École";"(514) 381-0052";"";"(514) 381-0054";"8955, rue Meunier";"Montréal";"Québec";"H2N 1W3";"8955, rue Meunier";"Montréal";"Québec";"H2N 1W3";"Acadie";"66023";"Directeur";"principal";"Mrs.";"Mme.";"Buscemi";"Lucy";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";
"579501";"Académie Juillet S.A.";"Académie Juillet S.A.";"579500";"Académie Juillet S.A.";"info@academiejuillet.com";"www.academiejuillet.com";"Montérégie";"Montérégie";"Préscolaire, primaire";"Privé";"Installation";"(450) 632-0080";"";"(450) 632-4534";"61, rue Radisson";"Candiac";"Québec";"J5R 0G1";"61, rue Radisson";"Candiac";"Québec";"J5R 0G1";"La Prairie";"67020";"Directeur";"";"";"Mme.";"Juillet";"Marylène";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";
"009505";"Académie Kells, campus présco. et prim.";"Académie Kells, campus préscolaire et primaire";"009500";"Académie Kells";"kadmin@kells.ca";"www.kells.ca";"Montréal";"Montréal";"Préscolaire, primaire";"Privé";"Installation";"(514) 487-2345";"";"(514) 487-2081";"2290, boulevard Cavendish";"Montréal";"Québec";"H4B 2M7";"2290, boulevard Cavendish";"Montréal";"Québec";"H4B 2M7";"Notre-Dame-de-Grâce";"66023";"Directeur";"Directrice";"Directrice";"Mme.";"Woods";"Irène";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";
"009502";"Académie Kells, campus secondaire";"Académie Kells, campus secondaire";"009500";"Académie Kells";"kadmin@kells.ca";"www.kells.ca";"Montréal";"Montréal";"Secondaire";"Privé";"Installation";"(514) 485-8565";"";"(514) 485-8505";"6865, boulevard De Maisonneuve Ouest";"Montréal";"Québec";"H4B 1T1";"6865, boulevard De Maisonneuve Ouest";"Montréal";"Québec";"H4B 1T1";"Notre-Dame-de-Grâce";"66023";"Directeur";"Directrice";"Directrice";"Mme.";"Woods";"Irène";"Non";"Non";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";
"883009";"Académie Knowlton";"Académie Knowlton";"883000";"CS Eastern Townships";"scottb@etsb.qc.ca";"http://www.etsb.qc.ca/knowlton/default.htm";"Estrie";"Montérégie";"Préscolaire, primaire, secondaire";"Public";"École";"(450) 243-6187";"";"(450) 243-4279";"81, rue Victoria";"Lac-Brome";"Québec";"J0E 1V0";"81, rue Victoria";"Lac-Brome";"Québec";"J0E 1V0";"Brome-Missisquoi";"46075";"Directeur";"Directrice";"";"Mme.";"Gore";"Renalee";"Oui";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";
"015502";"Académie Kuper, préscolaire et primaire";"Académie Kuper, préscolaire et primaire";"015500";"Académie Kuper";"cdasilva@kuperacademy.ca";"www.kuperacademy.ca";"Montréal";"Montréal";"Préscolaire, primaire";"Privé";"Installation";"(514) 426-3007";"421";"(514) 693-0364";"4, rue Aesop";"Kirkland";"Québec";"H9H 5G5";"4, rue Aesop";"Kirkland";"Québec";"H9H 5G5";"Nelligan";"66102";"Directeur";"Head of School";"Directrice";"Mme.";"Salette";"Joan";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";
"015501";"Académie Kuper, primaire";"Académie Kuper, primaire";"015500";"Académie Kuper";"cdasilva@kuperacademy.ca";"www.kuperacademy.ca";"Montréal";"Montréal";"Primaire";"Privé";"Installation";"(514) 426-3007";"321";"(514) 426-2703";"2, rue Aesop";"Kirkland";"Québec";"H9H 5G5";"2, rue Aesop";"Kirkland";"Québec";"H9H 5G5";"Nelligan";"66102";"Directeur";"Head of School";"Directrice";"Mme.";"Salette";"Joan";"Non";"Oui";"Non";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";
"015503";"Académie Kuper, secondaire";"Académie Kuper, secondaire";"015500";"Académie Kuper";"cdasilva@kuperacademy.ca";"www.kuperacademy.ca";"Montréal";"Montréal";"Secondaire";"Privé";"Installation";"(514) 426-3007";"223";"(514) 426-0377";"2975, rue Edmond";"Kirkland";"Québec";"H9H 5K5";"2975, rue Edmond";"Kirkland";"Québec";"H9H 5K5";"Nelligan";"66102";"Directeur";"Head of School";"Directrice";"Mme.";"Salette";"Joan";"Non";"Non";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";
"016501";"Académie Lafontaine";"Académie Lafontaine inc.";"016500";"Académie Lafontaine";"info@academielafontaine.qc.ca";"www.academielafontaine.qc.ca";"Laval Laurentides Lanaudière";"Laurentides";"Préscolaire, primaire, secondaire";"Privé";"Installation";"(450) 431-3733";"310";"(450) 431-7390";"2171, boulevard Maurice";"Saint-Jérôme";"Québec";"J7Y 4M7";"2171, boulevard Maurice";"Saint-Jérôme";"Québec";"J7Y 4M7";"Saint-Jérôme";"75017";"Directeur";"Directeur";"Directeur";"M.";"Potvin";"Claude";"Oui";"Oui";"Oui";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";
"887104";"Académie LaurenHill";"Académie LaurenHill";"887000";"CS English-Montréal";"laurenhillacademy@emsb.qc.ca";"http://www.emsb.qc.ca/laurenhill/";"Montréal";"Montréal";"Secondaire";"Public";"École";"(514) 331-8781";"";"(514) 331-7145";"2505, boulevard Côte-Vertu";"Saint-Laurent";"Québec";"H4R 1P3";"2505, boulevard Côte-Vertu";"Saint-Laurent";"Québec";"H4R 1P3";"Saint-Laurent";"66075";"Directeur";"Directeur";"";"M.";"Dansereau";"Claude";"Non";"Non";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";
"017501";"Académie Laurentienne (1986) inc.";"Académie Laurentienne (1986) inc.";"017500";"Académie Laurentienne (1986) inc.";"grichard@al.qc.ca";"www.academielaurentienne.ca";"Laval Laurentides Lanaudière";"Laurentides";"Primaire, secondaire";"Privé";"Installation";"(819) 322-2913";"222";"(819) 322-7086";"1200, 14e Avenue";"Val-Morin";"Québec";"J0T 2R0";"1200, 14e Avenue";"Val-Morin";"Québec";"J0T 2R0";"Bertrand";"78005";"Directeur";"Directeur général";"Directeur";"M.";"Richard";"Guy";"Non";"Oui";"Oui";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";
"624501";"Académie Lavalloise";"Académie Lavalloise";"624500";"Académie Lavalloise";"info@academielavalloise.com";"www.academielavalloise.com";"Laval Laurentides Lanaudière";"Laval";"Préscolaire, primaire";"Privé";"Installation";"(450) 628-1430";"2";"";"5290, boulevard des Laurentides";"Laval";"Québec";"H7K 2J8";"5290, boulevard des Laurentides";"Laval";"Québec";"H7K 2J8";"Vimont";"65005";"Directeur";"Directrice générale";"";"Mme.";"Zakaib";"Tessa";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";
"887021";"Académie Leonardo-da-Vinci";"Académie Leonardo-da-Vinci";"887000";"CS English-Montréal";"ldavinci@emsb.qc.ca";"http://www.emsb.qc.ca/leonardodavinci";"Montréal";"Montréal";"Préscolaire, primaire";"Public";"École";"(514) 648-2764";"";"(514) 648-7921";"12025, rue André Dumas";"Montréal";"Québec";"H1E 4G2";"12025, rue André Dumas";"Montréal";"Québec";"H1E 4G2";"LaFontaine";"66023";"Directeur";"Directeur";"";"Mme.";"Scrocca";"Antoinette (Interim)";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";
"741109";"Académie les Estacades";"Académie les Estacades";"741000";"CS du Chemin-du-Roy";"ac-estc@csduroy.qc.ca";"http://www.csduroy.qc.ca/Estacades/w2/accueil.html";"Mauricie Centre-du-Québec";"Mauricie";"Secondaire";"Public";"École";"(819) 375-3702";"331";"(819) 375-3785";"501, rue des Érables";"Trois-Rivières";"Québec";"G8T 5J2";"501, rue des Érables";"Trois-Rivières";"Québec";"G8T 5J2";"Champlain";"37067";"Directeur";"Directrice générale adjointe et directrice";"Directrice";"Mme.";"Morin";"Chantal";"Non";"Non";"Oui";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";
"019501";"Académie Louis-Pasteur";"Académie Louis-Pasteur";"019500";"Académie Louis-Pasteur";"mpassaretti@academielouispasteur.com";"www.academielouispasteur.com";"Montréal";"Montréal";"Préscolaire, primaire";"Privé";"Installation";"(514) 322-6123";"";"(514) 322-6787";"7220, rue Marie-Victorin";"Montréal";"Québec";"H1G 2J5";"7220, rue Marie-Victorin";"Montréal";"Québec";"H1G 2J5";"LaFontaine";"66023";"Directeur";"directeur";"Directeur";"M.";"Passaretti";"Mark";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";
"023501";"Académie Maria-Montessori de Montréal";"Académie Maria-Montessori de Montréal";"023500";"Académie Maria-Montessori de Montréal";"acamaria.montessori@qc.aira.com";"";"Montréal";"Montréal";"Préscolaire, primaire";"Privé";"Installation";"(514) 382-2112";"";"(514) 382-0996";"12755, 16e Avenue";"Montréal";"Québec";"H1E 1T3";"12755, 16e Avenue";"Montréal";"Québec";"H1E 1T3";"LaFontaine";"66023";"Directeur";"Directrice générale";"Directrice";"Mme.";"Zadé";"Arlette";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";
"024501";"Académie Marie-Claire";"Académie Marie-Claire";"024500";"Académie Marie-Claire";"academie@academiemarie-claire.qc.ca";"www.academiemarie-claire.qc.ca";"Montréal";"Montréal";"Primaire";"Privé";"Installation";"(514) 697-9995";"";"(514) 697-5575";"18190, boulevard Elkas";"Kirkland";"Québec";"H9J 3Y4";"18190, boulevard Elkas";"Kirkland";"Québec";"H9J 3Y4";"Nelligan";"66102";"Directeur";"Directrice";"Directrice";"Mme.";"Martin";"Marie-Claire";"Non";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";
"025501";"Académie Marie-Laurier, Campus Brossard";"Académie Marie-Laurier inc., Campus Brossard";"025500";"Académie Marie-Laurier";"academie@marielaurier.com";"www.marielaurier.com";"Montérégie";"Montérégie";"Préscolaire, primaire";"Privé";"Installation";"(450) 923-2787";"";"(450) 923-2291";"1555, avenue Stravinski";"Brossard";"Québec";"J4X 2H5";"1555, avenue Stravinski";"Brossard";"Québec";"J4X 2H5";"La Pinière";"58007";"Directeur";"Directrice Générale";"Directrice";"Mme.";"Bergeron";"Monique";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";
"025502";"Académie Marie-Laurier, Campus Longueuil";"Académie Marie-Laurier inc., Campus Longueuil";"025500";"Académie Marie-Laurier";"academie@marielaurier.com";"www.marielaurier.com";"Montérégie";"Montérégie";"Préscolaire, primaire";"Privé";"Installation";"(450) 923-2787";"";"(450) 923-2291";"4410, rue Leckie";"Longueuil";"Québec";"J3Y 9E7";"1555, avenue Stravinski";"Brossard";"Québec";"J3Y 9E7";"Vachon";"58227";"Directeur";"Directrice Générale";"Directrice";"Mme.";"Bergeron";"Monique";"Oui";"Oui";"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";
"025503";"Ac. Marie-Laurier, Collège Marie-Laurier";"Académie Marie-Laurier inc., Collège Marie-Laurier";"025500";"Académie Marie-Laurier";"academie@marielaurier.com";"www.marielaurier.com";"Montérégie";"Montérégie";"Secondaire";"Privé";"Installation";"(450) 923-2787";"";"(450) 923-2291";"4405, rue Leckie";"Longueuil";"Québec";"J3Y 9E7";"4405, rue Leckie";"Longueuil";"Québec";"J3Y 9E7";"Vachon";"58227";"Directeur";"Directrice Générale";"Directrice";"Mme.";"Bergeron";"Monique";"Non";"Non";"Oui";"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";
